N,P,K,Temperature,Humidity,pH,Rainfall,Crop
0.6428571428571428,0.2642857142857143,0.19,0.3458861351730654,0.7902668315256756,0.4662636371578488,202.9355362,rice
0.6071428571428571,0.3785714285714285,0.18,0.3714448905216465,0.770632850772957,0.5494802634661211,226.6555374,rice
0.4285714285714285,0.3571428571428571,0.195,0.4068538975127376,0.7939766359872729,0.6742187657204011,263.9642476,rice
0.5285714285714286,0.2142857142857143,0.175,0.5069013976025663,0.7687514436037337,0.5405078809463393,242.8640342,rice
0.5571428571428572,0.2642857142857143,0.185,0.3243775900369073,0.7856255161385323,0.6412913769420499,262.7173405,rice
0.4928571428571428,0.2285714285714286,0.185,0.4083916263333298,0.8062177449543491,0.5549787519923273,251.0549998,rice
0.4928571428571428,0.3571428571428571,0.165,0.3983711798293118,0.7976938172769268,0.3415144311123298,271.3248604,rice
0.6714285714285714,0.3428571428571428,0.175,0.3286120109658345,0.8006646625084191,0.3442859023549095,241.9741949,rice
0.6357142857142857,0.35,0.165,0.4502234639412419,0.808143680462121,0.4946231293342242,230.4462359,rice
0.4857142857142857,0.3785714285714285,0.165,0.4131527742551885,0.8022877900557605,0.4403347114600756,221.2091958,rice
0.65,0.3428571428571428,0.175,0.5079383837837773,0.7834401915158342,0.2925842082150222,264.6148697,rice
0.6428571428571428,0.2928571428571428,0.185,0.4348174011233198,0.7838260526889486,0.6217529136650028,250.0832336,rice
0.5571428571428572,0.3785714285714285,0.195,0.5157880921411019,0.7772494951643334,0.249431580149669,284.4364567,rice
0.6642857142857143,0.3642857142857142,0.155,0.4358502343417024,0.7908982497215867,0.5411225849858909,185.2773389,rice
0.6714285714285714,0.3214285714285714,0.16,0.4832213803130185,0.7746481443629094,0.5354722089637529,209.5869708,rice
0.4285714285714285,0.3071428571428571,0.17,0.4435150642602466,0.7704066801900776,0.5501338383992136,231.0863347,rice
0.6071428571428571,0.2357142857142857,0.18,0.3661839184730865,0.7994314536987555,0.4267735482119608,276.6552459,rice
0.65,0.2142857142857143,0.17,0.4295071123183578,0.7717823034149283,0.5390241097382393,206.2611855,rice
0.5499999999999999,0.2357142857142857,0.155,0.3741648676868186,0.7691473446915107,0.3808790149995738,224.5550169,rice
0.6285714285714286,0.2142857142857143,0.175,0.4233526093558782,0.8087547924039359,0.3653275479490719,291.2986618,rice
0.6357142857142857,0.2857142857142857,0.155,0.3586637590362036,0.7724423810842008,0.4568535698977121,185.4974732,rice
0.5428571428571428,0.25,0.19,0.4686331625050921,0.8032666059104807,0.2434433853597667,231.3843163,rice
0.4785714285714285,0.3857142857142857,0.18,0.3765297279359804,0.7782643089414143,0.3900075104538634,213.3560921,rice
0.5928571428571429,0.2571428571428572,0.19,0.3508443185554795,0.7981485476264769,0.4275476591028611,233.1075816,rice
0.7,0.3,0.16,0.4206087551652157,0.7824499450014114,0.6019481847749768,224.0581164,rice
0.4714285714285714,0.3428571428571428,0.18,0.466285376663458,0.7730154716291151,0.6646870760899621,257.0038865,rice
0.6928571428571428,0.3857142857142857,0.19,0.5031187448826498,0.8140792476573745,0.4325974283217257,271.3586137,rice
0.6928571428571428,0.3214285714285714,0.18,0.4506064257656966,0.7732615441444746,0.5545909795550641,260.2634026,rice
0.4285714285714285,0.3142857142857143,0.195,0.3429024111521834,0.8193719188689319,0.4261189691326503,240.0810647,rice
0.6,0.3285714285714285,0.15,0.3866849292315126,0.7744185024001528,0.3947774472776674,197.9791215,rice
0.5214285714285715,0.3714285714285714,0.18,0.3621500899816527,0.8245748550623077,0.3607830028397062,272.2017204,rice
0.6571428571428571,0.2142857142857143,0.175,0.3831768653176626,0.7707684974088922,0.4436216054977843,200.0882787,rice
